"id","entityid","entityname","dept","crsnum","title","term","term_seq","units","grade","course_level","tranafct","approx_flag","approx_course_dept","approx_course_crsnum","term_received","attend_from","attend_to","approx_group_id","approx_group_type","refresh","download_shared_unique_key"
A0000000,EC004692,Santa Rosa Jr Coll,CIS,22B,Data Structures,SP13,4610,1,B-,LD,,1,CSE,12a,,,,0000,,2025-11-18,A0000000-EC004692-CIS-22B-CSE-12
A0000000,EC004692,Santa Rosa Jr Coll,CIS,22B,Data Structures,SP13,4610,1,B-,LD,,1,CSE,12b,,,,0000,,2025-11-18,A0000000-EC004692-CIS-22B-CSE-12
A0000000,EC004692,Santa Rosa Jr Coll,CIS,22B,Data Structures,SP13,4610,1,B-,LD,,1,CSE,12c,,,,0000,,2025-11-18,A0000000-EC004692-CIS-22B-CSE-12
A0000000,EC004692,Santa Rosa Jr Coll,CHEM,1A,General Chemistry I,SP13,4610,1,C+,LD,,1,CHEM,6A,,,,0000,,2025-11-18,A0000000-EC004692-CHEM-1A-CHEM-6A
A0000000,EC004692,Santa Rosa Jr Coll,HIST,17A,US History to 1877,FA13,4620,1,B+,LD,,1,HIST,101,,,,0000,,2025-11-18,A0000000-EC004692-HIST-17A-HIST-101
A0000001,EC006210,Foothill College,PHIL,10,Introduction to Logic,S112,4580,1,B,LD,,1,PHIL,10,,,,0000,,2025-12-10,A0000001-EC006210-PHIL-10-PHIL-10
A0000001,EC006210,Foothill College,PHYS,4A,Physics: Mechanics,FA14,4650,1,A-,LD,,1,PHYS,2A,,,,0000,,2025-12-10,A0000001-EC006210-PHYS-4A-PHYS-2A
A0000002,EC002118,De Anza College,STAT,50,Intro Statistics,FA14,4650,1,B+,LD,,1,MATH,11,,,,0000,,2025-12-18,A0000002-EC002118-STAT-50-MATH-11
A0000002,EC002118,De Anza College,SOC,1,Introduction to Sociology,SP13,4610,1,C-,LD,,1,SOCI,1,,,,0000,,2025-12-18,A0000002-EC002118-SOC-1-SOCI-1
A0000002,EC002118,De Anza College,MATH,1B,Calculus II,SP15,4660,1,A-,LD,,1,MATH,20B,,,,0000,,2025-12-18,A0000002-EC002118-MATH-1B-MATH-20B
A0000002,EC002118,De Anza College,MUS,10,Music Appreciation,WI12,4560,0.75,B+,LD,,1,MUS,5,,,,0000,,2025-12-18,A0000002-EC002118-MUS-10-MUS-5
A0000003,EC001247,Santa Monica College,CIS,18A,Intro Programming,WI14,4630,1,A,LD,,1,CSE,11,,,,0000,,2025-12-04,A0000003-EC001247-CIS-18A-CSE-11
A0000003,EC001247,Santa Monica College,MUS,10,Music Appreciation,WI14,4630,0.75,A,LD,,1,MUS,5,,,,0000,,2025-12-04,A0000003-EC001247-MUS-10-MUS-5
A0000003,EC001247,Santa Monica College,COMM,1,Public Speaking,SP13,4610,0.75,C+,LD,,1,COMM,10,,,,0000,,2025-12-04,A0000003-EC001247-COMM-1-COMM-10
A0000003,EC001247,Santa Monica College,PHIL,10,Introduction to Logic,SP15,4660,1,B+,LD,,1,PHIL,10,,,,0000,,2025-12-04,A0000003-EC001247-PHIL-10-PHIL-10
A0000004,EC006210,Foothill College,ART,2,Drawing I,FA15,4670,0.75,B+,LD,,1,VIS,60,,,,0000,,2025-10-25,A0000004-EC006210-ART-2-VIS-60
A0000004,EC006210,Foothill College,CHEM,1A,General Chemistry I,FA12,4550,1,B-,LD,,1,CHEM,6A,,,,0000,,2025-10-25,A0000004-EC006210-CHEM-1A-CHEM-6A
A0000004,EC006210,Foothill College,PHYS,4A,Physics: Mechanics,FA15,4670,1,B,LD,,1,PHYS,2A,,,,0000,,2025-10-25,A0000004-EC006210-PHYS-4A-PHYS-2A
A0000004,EC006210,Foothill College,CIS,22B,Data Structures,WI14,4630,1,B,LD,,1,CSE,12,,,,0000,,2025-10-25,A0000004-EC006210-CIS-22B-CSE-12
A0000004,EC006210,Foothill College,MATH,2A,Linear Algebra,SP15,4660,1,C+,LD,,1,MATH,18,,,,0000,,2025-10-25,A0000004-EC006210-MATH-2A-MATH-18
A0000005,EC008115,Grossmont College,MATH,1A,Calculus I,WI14,4630,1,C+,LD,,1,MATH,20A,,,,0000,,2026-01-06,A0000005-EC008115-MATH-1A-MATH-20A
A0000006,EC007330,Orange Coast College,SOC,1,Introduction to Sociology,SP14,4640,1,A-,LD,,1,SOCI,1,,,,0000,,2025-11-09,A0000006-EC007330-SOC-1-SOCI-1
A0000006,EC007330,Orange Coast College,ENGL,1A,College Composition,SP15,4660,1,C,LD,,1,LTEN,21,,,,0000,,2025-11-09,A0000006-EC007330-ENGL-1A-LTEN-21
A0000006,EC007330,Orange Coast College,STAT,50,Intro Statistics,SP13,4610,1,B+,LD,,1,MATH,11,,,,0000,,2025-11-09,A0000006-EC007330-STAT-50-MATH-11
A0000006,EC007330,Orange Coast College,COMM,1,Public Speaking,FA14,4650,0.75,P,LD,,1,COMM,10,,,,0000,,2025-11-09,A0000006-EC007330-COMM-1-COMM-10
A0000007,EC001247,Santa Monica College,ECON,1,Principles of Microeconomics,SP12,4570,1,C+,LD,,1,ECON,1,,,,0000,,2026-01-07,A0000007-EC001247-ECON-1-ECON-1
A0000007,EC001247,Santa Monica College,ART,2,Drawing I,FA11,4550,0.75,A,LD,,1,VIS,60,,,,0000,,2026-01-07,A0000007-EC001247-ART-2-VIS-60
A0000009,EC002118,De Anza College,PHYS,4A,Physics: Mechanics,FA11,4550,1,B,LD,,1,PHYS,2A,,,,0000,,2026-01-21,A0000009-EC002118-PHYS-4A-PHYS-2A
A0000009,EC002118,De Anza College,STAT,50,Intro Statistics,SP14,4640,1,C+,LD,,1,MATH,11,,,,0000,,2026-01-21,A0000009-EC002118-STAT-50-MATH-11
A0000009,EC002118,De Anza College,MATH,1A,Calculus I,FA13,4620,1,A,LD,,1,MATH,20A,,,,0000,,2026-01-21,A0000009-EC002118-MATH-1A-MATH-20A
A0000010,EC005044,Mesa College,MATH,1A,Calculus I,FA13,4620,1,A-,LD,,1,MATH,20A,,,,0000,,2025-11-14,A0000010-EC005044-MATH-1A-MATH-20A
A0000010,EC005044,Mesa College,BIOL,10,General Biology,FA15,4670,1,A,LD,,1,BILD,1,,,,0000,,2025-11-14,A0000010-EC005044-BIOL-10-BILD-1
A0000010,EC005044,Mesa College,CIS,22B,Data Structures,S112,4580,1,B-,LD,,1,CSE,12,,,,0000,,2025-11-14,A0000010-EC005044-CIS-22B-CSE-12
A0000010,EC005044,Mesa College,CIS,18A,Intro Programming,FA15,4670,1,B,LD,,1,CSE,11,,,,0000,,2025-11-14,A0000010-EC005044-CIS-18A-CSE-11
A0000011,EC005044,Mesa College,COMM,1,Public Speaking,SP15,4660,0.75,C,LD,,1,COMM,10,,,,0000,,2025-11-02,A0000011-EC005044-COMM-1-COMM-10
A0000012,EC007330,Orange Coast College,BIOL,10,General Biology,WI13,4600,1,C-,LD,,1,BILD,1,,,,0000,,2025-11-05,A0000012-EC007330-BIOL-10-BILD-1
A0000012,EC007330,Orange Coast College,CHEM,1A,General Chemistry I,FA12,4550,1,A-,LD,,1,CHEM,6A,,,,0000,,2025-11-05,A0000012-EC007330-CHEM-1A-CHEM-6A
A0000013,EC001247,Santa Monica College,ECON,2,Principles of Macroeconomics,WI14,4630,1,A,LD,,1,ECON,3,,,,0000,,2025-12-13,A0000013-EC001247-ECON-2-ECON-3
A0000013,EC001247,Santa Monica College,PHYS,4B,Physics: E&M,FA14,4650,1,C-,LD,,1,PHYS,2B,,,,0000,,2025-12-13,A0000013-EC001247-PHYS-4B-PHYS-2B
A0000013,EC001247,Santa Monica College,CHEM,1A,General Chemistry I,FA15,4670,1,A-,LD,,1,CHEM,6A,,,,0000,,2025-12-13,A0000013-EC001247-CHEM-1A-CHEM-6A
A0000013,EC001247,Santa Monica College,MATH,1A,Calculus I,FA11,4550,1,C+,LD,,1,MATH,20A,,,,0000,,2025-12-13,A0000013-EC001247-MATH-1A-MATH-20A
A0000014,EC008115,Grossmont College,MUS,10,Music Appreciation,SP13,4610,0.75,B+,LD,,1,MUS,5,,,,0000,,2025-11-29,A0000014-EC008115-MUS-10-MUS-5
A0000014,EC008115,Grossmont College,PHYS,4A,Physics: Mechanics,FA15,4670,1,B-,LD,,1,PHYS,2A,,,,0000,,2025-11-29,A0000014-EC008115-PHYS-4A-PHYS-2A
A0000014,EC008115,Grossmont College,STAT,50,Intro Statistics,S112,4580,1,C-,LD,,1,MATH,11,,,,0000,,2025-11-29,A0000014-EC008115-STAT-50-MATH-11
A0000014,EC008115,Grossmont College,HIST,17A,US History to 1877,WI13,4600,1,B+,LD,,1,HIST,101,,,,0000,,2025-11-29,A0000014-EC008115-HIST-17A-HIST-101
A0000014,EC008115,Grossmont College,MATH,2A,Linear Algebra,WI13,4600,1,A-,LD,,1,MATH,18,,,,0000,,2025-11-29,A0000014-EC008115-MATH-2A-MATH-18
A0000015,EC006210,Foothill College,ENGL,1A,College Composition,SP13,4610,1,C+,LD,,1,LTEN,21,,,,0000,,2025-12-26,A0000015-EC006210-ENGL-1A-LTEN-21
A0000015,EC006210,Foothill College,CIS,18A,Intro Programming,WI12,4560,1,B-,LD,,1,CSE,11,,,,0000,,2025-12-26,A0000015-EC006210-CIS-18A-CSE-11
